노선명 ,방향표지 ,노선표지,이정표지,경계표지,안내표지,주의표지,규제표지 ,지시표지,보조표지
합계,9448,1541,1124,316,7259,6790,15701,568,5355
 경부선 ,794,73,92,54,767,447,1118,80,244
 경인선 ,125,63,8,5,15,30,143,10,36
 고창담양선 ,109,20,11,6,179,87,152,10,85
 광주대구선 ,308,41,79,12,259,214,610,17,337
 남해선 ,231,40,32,3,262,243,465,27,35
 당진영덕선 ,648,74,69,16,360,449,1233,17,196
 대전남부순환선 ,59,11,4,0,34,20,28,0,15
 동해선 ,196,50,33,2,340,241,558,8,349
 무안광주선 ,86,18,12,4,94,50,150,4,26
 서울양양선 ,244,19,11,4,313,218,718,35,369
 서울외곽순환선 ,625,116,50,15,211,191,384,17,113
 서천공주선 ,149,10,12,6,22,84,172,3,92
 서해안선 ,787,112,94,28,506,317,1113,27,180
 순천완주선 ,162,39,28,2,120,197,477,30,40
 영동선 ,438,72,48,20,508,359,1006,34,392
 익산포항선 ,290,66,46,10,336,226,527,7,23
 제2경인선 ,149,15,8,6,46,32,92,5,14
 제2경인선(인천대교) ,107,8,6,0,0,39,85,2,5
 제2중부선 ,12,7,8,2,19,34,66,2,44
 중부내륙선 ,517,75,42,12,354,321,839,25,522
 중부내륙선지선 ,24,2,1,0,5,7,14,0,5
 중부선 ,282,60,19,13,127,140,291,10,135
 중앙선 ,589,135,50,23,577,780,886,14,236
 통영대전선 ,312,14,22,8,131,195,339,13,173
 평택제천선 ,300,37,24,0,115,147,404,16,133
 호남선 ,411,102,147,22,399,302,810,30,181
 호남선지선 ,97,22,13,4,19,77,137,13,48
경부선,95,9,18,4,152,258,347,1,416
남해선,344,52,30,7,272,217,592,19,80
남해제1지선,37,12,3,2,35,22,79,4,13
남해제2지선,45,5,4,2,34,15,70,0,5
동해선,101,10,8,0,34,53,280,11,166
부산외곽선,63,13,4,2,44,59,119,7,82
부산외곽순환선,57,10,6,0,28,48,120,0,0
부산울산선,180,23,15,3,92,66,165,14,96
울산선,32,8,8,0,20,17,57,3,7
중부내륙선,96,15,10,6,87,112,158,16,92
중부내륙선지선,27,4,2,0,42,52,50,9,34
중앙선,33,3,2,0,13,15,23,2,0
중앙선지선,47,6,5,0,5,15,22,0,1
통영대전선,194,55,31,13,191,259,459,26,51
함양울산선,46,15,9,0,92,135,343,0,284
